Crop,State,District,Sub-District,SDate,HDate,CropCoveredArea,CHeight,CNext,CLast,CTransp,IrriType,IrriSource,IrriCount,WaterCov,ExpYield,Season,ndvi,evi,ndwi,gndvi,savi,msavi,target
5,0,6,75,467,285,97,54,4,0,3,1,1,4,87,17,1,0.10075628391784108,-0.793684007616048,8.488030522394018,0.12715269356820522,0.15112468132509652,4232.59619140625,0.0
5,0,6,75,242,535,82,58,4,0,3,1,0,5,94,15,1,0.18809020482911978,0.5642478217589251,11.493761606286244,0.18781470248822946,0.2821101750341709,3249.392822265625,0.0
5,0,6,75,356,576,92,91,4,0,3,1,0,3,99,20,1,0.20659582393205747,-1.456745070971491,10.166884274238333,0.206552833874116,0.30986929743092495,3741.9560546875,0.0
5,0,6,75,185,85,91,52,4,0,3,1,0,5,92,16,1,0.20624960402758835,2.2061835436164867,10.446196470401448,0.22099461787272645,0.3093496229639952,3673.396728515625,1.0
5,0,6,75,222,387,94,55,4,0,3,1,0,5,97,20,1,0.17972116914528094,-0.7436382560907444,8.665928696823784,0.16065736615072482,0.2695633109854967,4227.33837890625,1.0
5,0,6,75,243,369,97,51,4,0,3,1,1,5,85,15,1,0.13914731160736746,-4.77075503579746,10.018032377919722,0.13741349680493462,0.2087048723412948,3599.652587890625,2.0
5,0,6,75,370,616,84,68,0,4,3,1,0,3,90,15,1,0.04995613721077504,-0.5536258725859853,8.664582402893162,0.06493443217988631,0.07492928492767793,3914.587646484375,0.0
5,0,6,75,263,71,86,72,4,0,3,1,0,3,91,15,1,0.21105129847872753,inf,10.583467700600485,0.23731389449880874,0.31655146074411167,3667.59033203125,0.0
5,0,6,75,220,104,90,78,4,0,3,1,0,3,86,18,1,0.10182350833572082,-26.822447889665554,6.611994386220866,0.11757613629045637,0.1527275137328081,5368.10009765625,1.0
5,0,6,75,220,448,90,53,0,4,3,1,1,5,90,19,1,0.02443766694067801,-0.2543448716726653,3.808555456477374,0.03982969661327171,0.036655440632457424,8770.6083984375,0.0
5,0,6,75,205,597,94,56,0,4,3,1,0,4,91,17,1,0.03827479266402144,1.4548529304082922,8.811037052386812,0.07037366854617787,0.05740841859394504,3865.133544921875,0.0
5,0,6,75,213,305,89,59,0,4,3,1,0,3,94,18,1,0.21389933052195786,1.7658086446792114,10.666466552473318,0.2305206064119522,0.3208227314815703,3615.381591796875,0.0
5,0,6,73,528,287,94,72,4,0,3,1,1,6,85,18,1,0.0699631991898384,-2.4585983839845014,12.037307494531627,0.09292543077600814,0.1049354876923929,2877.724853515625,1.0
5,0,6,27,198,266,92,51,0,4,3,1,1,5,85,19,1,0.18601558872598184,-0.5508820148719672,9.840135838874547,0.18525247545347714,0.2790020875426362,3794.677978515625,1.0
5,0,6,27,447,66,93,75,0,4,3,1,0,6,86,18,1,0.10311757639696931,-0.8934946573175357,11.104683296304072,0.13279289779486383,0.1546634612292436,3217.8232421875,0.0
5,0,6,27,371,576,96,62,0,4,3,1,1,4,91,15,1,0.2075384311643614,-0.1622125345918697,9.695718768932473,0.1996087557179208,0.31128403236426794,3895.5048828125,0.0
5,0,6,27,336,405,92,64,0,4,3,1,0,6,92,15,1,0.16249860833775898,-1.201757664847989,10.332465069100031,0.17455392389539523,0.24372863883246942,3583.89794921875,0.0
5,0,6,105,202,385,89,99,4,0,3,1,0,6,82,20,1,0.18238589550547477,-1.9419489030692538,10.233388502578311,0.1940646090670234,0.27355734127809594,3671.275634765625,0.0
5,0,6,27,183,407,80,94,0,4,3,1,0,5,95,16,1,0.031348395157834545,-0.35644025826769793,5.423166788046274,0.05639539609754655,0.047020680385758136,6237.27783203125,0.0
5,0,6,27,429,496,80,50,4,0,3,1,0,4,80,18,1,0.18071018708699974,-1.1991077525580494,9.992902269368402,0.17330538182210836,0.2710441556849237,3701.223388671875,0.0
5,0,6,27,201,75,94,61,0,4,3,1,0,5,82,16,1,0.03847455246761867,-1.594115686868277,8.635024269197045,0.06404148120669848,0.0577080906304147,3925.222900390625,3.0
5,0,6,73,201,98,95,84,0,4,3,1,1,3,94,17,1,0.09120244043113943,7.920910199188022,8.09092257129856,0.10691570091849656,0.1367952297464449,4339.845703125,0.0
5,0,6,73,183,387,91,60,4,0,3,1,0,4,86,15,1,0.0717411313281947,-1.11597088911424,8.324350921920649,0.0763977341729777,0.10760481030830521,4115.99365234375,0.0
5,0,6,73,220,471,85,87,0,4,3,1,0,5,96,20,1,0.09839516950014297,-0.17425971195636702,8.489301664092455,0.10927272693329539,0.1475831200366732,4161.6767578125,0.0
5,0,6,73,209,577,85,84,0,4,3,1,1,6,81,17,1,0.044201261638254635,-0.22456734843596143,8.530979057153179,0.06714703323519502,0.06629763757420999,3978.756103515625,0.0
5,0,6,73,185,616,91,77,4,0,3,1,0,5,89,20,1,0.060726641096625074,-1.7100908455284352,8.582035258804932,0.08097657229240439,0.09108405130021519,4003.8046875,0.0
5,0,6,73,205,327,94,65,4,0,3,1,1,4,97,19,1,0.22959245623624674,2.0524526760213733,10.247823535258936,0.23902760902681539,0.3443613842862073,3792.243408203125,0.0
5,0,6,73,391,494,83,68,0,4,3,1,0,4,100,15,1,0.09170708495798618,0.6643115456789295,8.292067485363594,0.1196666019368693,0.13755198232849897,4285.0751953125,0.0
